DZIEN, PREDKOSC
2017/06/20, 27.118644067796623
2017/06/20, 32.203389830508485
2017/06/21, 33.89830508474577
2017/06/24, 20.338983050847474
2017/06/24, 25.423728813559336
2017/06/23, 45.76271186440678
2017/06/24, 39.83050847457628
2017/06/27, 28.81355932203391
2017/06/27, 32.203389830508485
2017/06/29, 28.81355932203391
2017/06/29, 32.203389830508485
2017/07/01, 23.72881355932205
2017/07/03, 16.101694915254257
2017/07/04, 17.796610169491544
2017/07/04, 28.81355932203391
2017/07/07, 14.40677966101697
2017/07/06, 27.966101694915267
2017/07/06, 30.508474576271198
2017/07/07, 30.508474576271198
2017/07/07, 38.98305084745766
2017/07/12, 12.711864406779682
2017/07/12, 17.796610169491544
2017/07/13, 19.49152542372883
2017/07/14, 23.72881355932205
2017/07/16, 11.864406779661039
